"spiritual retreats, rock climbing, architecture photography","Ruhunu Maha Kataragama Dewalaya, Ambuluwawa Tower, Dambulla Royal Cave Temple and Golden Temple, Surathali Ella, Trincomalee"
"village homestays, sea cruises, sailing","Negombo Lagoon, Colombo Port City, Mirissa Beach, Ella, Trincomalee Harbour"
"literary tours, surfing, themed parks","Ahangama, Martin Wickramasinghe Folk Museum, Hikkaduwa Beach, Jungle Beach, Mirissa Beach"
"village homestays, literary tours, hiking","Sri Pada / Adams Peak, Horton Plains National Park, Jaffna Public Library, Ella Rock, Haputale"
"public art installations, sea cruises, sightseeing","Horton Plains, Mirissa Beach, Colombo Port City, Pidurangala Rock, Kandy"
"animal encounters, scuba diving, village homestays","Pinnawala Elephant Orphanage, Elephant Transit Home, Udawalawe National Park, Pigeon Island, Trincomalee"
"waterfalls, craft workshops, theater","Ambalangoda Mask Workshop, Bakers Falls, Ramboda Falls, Bambarakiri Ella, St Clairs Falls"
"art classes, whale watching, cycling","Hikkaduwa, Trincomalee, Hatton, Mirissa Beach, Ella"
"village homestays, archaeological sites, zip-lining","Polonaruwa, Kithulgala, Anuradhapura, Sigiriya, Haputale"
"art classes, local crafts, arts and culture","Kandy, Jaffna Public Library, Galle, Museum of Modern and Contemporary Art, Ambalangoda"
"theater, craft workshops, cultural experiences","Lionel Wendt Art Centre, Mihintale, Dambulla Royal Cave Temple and Golden Temple, Nelung Arts Centre, Batadombalena Craft Centre"
"theater, themed parks, river cruises","Madu River, Viharamahadevi Park, Bentota River, Nelum Pokuna Theatre, Jungle Beach"
"architecture tours, scuba diving, surfing","Tangalle, Galle Dutch Fort, Mirissa Beach, Arugam Bay Beach, Hikkaduwa Beach"
"horse shows, golfing, theater","Victoria Golf Club, Nuwara Eliya, Kandy, Lionel Wendt Art Centre, Nuwara Eliya Golf Club"
"horseback riding, horse shows, rock climbing","Kandy, Surathali Ella, Yapahuwa Rock Fortress, Nuwara Eliya, Knuckles"
"historic sites, boat safaris, kayaking","Colombo Port City, Unawatuna Lagoon, Ahungalla, Sigiriya, Kitulgala"
"golfing, architecture photography, hiking","Horton Plains National Park, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Velgam Vehera Buddhist Temple, Ambuluwawa Tower"
"wildlife viewing, caving, waterfalls","Batatotalena (Batadombalena) Cave, Kanneliya National Rain Forest Reserve, Ramboda Falls, Bakers Falls, Yala National Park"
"water parks, paddleboarding, museum visits","Maritime Museum, Dutch Museum, Bentota River, Negambo, Unawatuna Beach"
"caving, literary tours, hot air ballooning","Ritigala, Jaffna Public Library, Martin Wickramasinghe Folk Museum, Wavulpone Cave, Batatotalena (Batadombalena) Cave"
"yoga retreats, water parks, elephant rides","Pearl Bay, Galle, Udawalawe, Pinnawala, Hiriketiya"
"horseback riding, craft workshops, camping","Dambulla, Horton Plains, Haputale, Knuckles, Kitugala Forest"
"hot air ballooning, sea cruises, arts and culture","Nelung Arts Centre, Dambulla, Gangaramaya Temple, Negombo Lagoon, Museum of Modern and Contemporary Art"
"amusement parks, wildlife viewing, sailing","Minneriya National Park, Udawalawe National Park, Excel World, Negombo Lagoon, Wilpattu National Park"
"city tours, local crafts, landscape photography","Ella Gap, Horton Plains, Galle City Tour, Kandy, Kandy City Centre"
"sailing lessons, cultural festivals, horse shows","Nallur Kandaswamy Devasthanam, Kandy, Negombo, Trincomalee, Nuwara Eliya"
"elephant rides, historic walks, water parks","Leisure World, Anuradapura, Pearl Bay, Galle Fort, Kandy Lake"
"golfing, cultural experiences, horseback riding","Kandy Temple, Victoria Golf Club, Nuwara Eliya Golf Club, Royal Colombo Golf Club, Nuwara Eliya"
"beachfront dining, horseback riding, caving","Unawatuna, Ritigala, Wavulpone Cave, Batatotalena (Batadombalena) Cave, Mirissa Beach"
"craft workshops, horse shows, historic sites","Galle Dutch Fort, Polonnaruwa Ancient City, Mihintale, Sigiriya, Batadombalena Craft Centre"
"butterfly watching, amusement parks, arts and culture","Gangaramaya Temple, Horton Plains National Park, Nelung Arts Centre, Knuckles, Museum of Modern and Contemporary Art"
"bird watching, sailing, caving","Negombo Lagoon, Wavulpone Cave, Batatotalena (Batadombalena) Cave, Trincomalee Harbour, Colombo Port City"
"outdoor adventures, wildlife viewing, mountain biking","Wasgamuwa National Park, Wilpattu National Park, Yala National Park, Hatton, Kitulgala"
"craft workshops, architecture photography, waterfalls","Batadombalena Craft Centre, Diyaluma Falls, Ambuluwawa Tower, Bomburu Ella Waterfall, Bambarakanda Falls"
"golfing, art classes, surfing","Royal Colombo Golf Club, Weligama Beach (surf and stay), Tangalle, Galle, Ahangama"
"architecture tours, butterfly watching, elephant rides","Udawalawe, Galle Dutch Fort, Pinnawala, Horton Plains National Park, Knuckles"
"amusement parks, scuba diving, wildlife viewing","Trincomalee, Leisure World, Negombo, Yala National Park, Perl Bay"
"kayaking, archaeological sites, local crafts","Kitulgala, Kalpitiya Lagoon, Ahungalla, Kandy, Madu River"
"architecture photography, horseback riding, waterfalls","Dambulla, Nuwara Eliya, Bambarakiri Ella, St Clairs Falls, Galle Fort"
"art classes, theater, scuba diving","Lionel Wendt Art Centre, Nelum Pokuna Theatre, Nelung Arts Centre, Galle, Colombo"
"rock climbing, hot air ballooning, theater","Surathali Ella, Nelung Arts Centre, Dambulla, Yapahuwa Rock Fortress, Kandalama"
"amusement parks, historic walks, snorkeling","Polonaruwa, Unawatuna Beach, Mirissa Beach, Anuradapura, Perl Bay"
"golfing, amusement parks, arts and culture","Excel World, National Gallery of Art, Perl Bay, Colombo Port City, Nelung Arts Centre"
"theater, public art installations, zip-lining","Colombo, Ella, Lionel Wendt Art Centre, Nelung Arts Centre, Nelum Pokuna Theatre"
"beachfront dining, hot springs, theater","Nelung Arts Centre, Mahapelessa Hot Springs, Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Galle"
"scuba diving, surfing, planetarium visits","Negombo, Weligama Beach (surf and stay), Pigeon Island, Hikkaduwa Beach, Arugam Bay Beach"
"caving, local crafts, historic walks","Kandy Lake, Mahalenama Cave, Anuradapura, Galle Fort, Wavulpone Cave"
"architecture photography, golfing, safaris","Kumana National Park, Dambulla Royal Cave Temple and Golden Temple, Sigiriya, Yala National Park, Galle Fort"
"craft workshops, horse shows, photography","Sinharaja Forest Reserve, Bentota, Batadombalena Craft Centre, Horton Plains National Park, Ella"
"horseback riding, literary tours, tea tasting","Haputale, Martin Wickramasinghe Folk Museum, Nuwara Eliya, Jaffna Public Library, Kandy"
"surfing, ayurvedic spa treatments, planetarium visits","Mirissa Beach, Ahangama, Sri Lanka Planetarium, Weligama Beach (surf and stay), Bentota"
"butterfly watching, caving, water parks","Belilena Caves, Ritigala, Leisure World, Kanneliya National Rain Forest Reserve, Wavulpone Cave"
"water parks, cultural experiences, paddleboarding","Pearl Bay, Bentota River, Dambulla Royal Cave Temple and Golden Temple, Unawatuna Beach, Kandy Temple"
"temple pilgrimages, sightseeing, zip-lining","Ella, Jaya Sri Maha Bodhi, Mihintale, Sri Pada / Adams Peak, Horton Plains"
"cultural experiences, safaris, historical monuments","Yala National Park, Polonnaruwa, Minneriya National Park, Mihintale, Kumana National Park"
"historic walks, botanical gardens, temple pilgrimages","Hakgala Botanical Garden, Anuradapura, Galle Fort, Kandy Lake, Royal Botanical Gardens, Peradeniya"
"botanical gardens, cultural festivals, sailing","Royal Botanical Gardens, Peradeniya, Seethawaka Wet Zone Botanical Gardens, Trincomalee Harbour, Kandy, Hakgala Botanical Garden"
"surfing, hiking, archaeological sites","Mirissa Beach, Anuradhapura, Horton Plains National Park, Polonaruwa, Hikkaduwa Beach"
"planetarium visits, caving, snorkeling","Unawatuna Beach, Mahalenama Cave, Wavulpone Cave, Pigeon Island, Sri Lanka Planetarium"
"snorkeling, sightseeing, animal encounters","Ella, Yala National Park, Elephant Transit Home, Galle Lighthouse, Pigeon Island"
"fishing, water parks, botanical gardens","Pearl Bay, Kalpitiya, Seethawaka Wet Zone Botanical Gardens, Hakgala Botanical Garden, Hikkaduwa"
"architecture tours, paddleboarding, rock climbing","Unawatuna Beach, Surathali Ella, Galle Dutch Fort, Sigiriya, Trincomalee"
"animal encounters, cycling, village homestays","Yala National Park, Haputale, Hatton, Kanneliya National Rain Forest Reserve, Elephant Transit Home"
"wildlife viewing, architecture tours, surfing","Minneriya National Park, Mirissa Beach, Udawalawe National Park, Tangalle, Kanneliya National Rain Forest Reserve"
"water parks, caving, mountain biking","Wavulpone Cave, Pearl Bay, Knuckles, Belilena Caves, Batatotalena (Batadombalena) Cave"
"waterfalls, historic walks, hot springs","Diyaluma Falls, Maha Oya Hot Water Springs, Kanniya Hot Springs, Ravan Ella Waterfall, Anuradapura"
"botanical gardens, water parks, city tours","Galle City Tour, Kandy City Centre, Royal Botanical Gardens, Peradeniya, Pearl Bay, Hakgala Botanical Garden"
"local crafts, beach visits, art classes","Bentota Beach, Galle, Mirissa Beach, Nilaveli Beach, Jungle beach"
"kayaking, golfing, turtle watching","Rekawa Beach, Kalpitiya Lagoon, Madu River, Kosgoda Turtle Hatchery, Royal Colombo Golf Club"
"surfing, horse shows, rock climbing","Ella Rock, Hikkaduwa Beach, Weligama Beach (surf and stay), Ahangama, Surathali Ella"
"arts and culture, sailing, spiritual retreats","Museum of Modern and Contemporary Art, Trincomalee, Colombo Port City, National Gallery of Art, Negombo Lagoon"
"beachfront dining, river cruises, sailing lessons","Trincomalee, Galle, Mirissa Beach, Unawatuna, Negombo"
"safaris, horseback riding, yoga retreats","Minneriya National Park, Hiriketiya, Haputale, Wilpattu National Park, Galle"
"amusement parks, boat safaris, architecture photography","Sigiriya, Velgam Vehera Buddhist Temple, Perl Bay, Excel World, Madu River"
"themed parks, hiking, golfing","Sri Pada / Adams Peak, Royal Colombo Golf Club, Horton Plains National Park, Viharamahadevi Park, Ella Rock"
"fishing, village homestays, tea tasting","Nuwara Eliya, Kalpitiya, Trincomalee, Kandy, Negombo Lagoon"
"historic sites, cycling, spiritual retreats","Anuradhapura, Mihintale, Trincomalee, Sri Pada / Adams Peak, Polonnaruwa Ancient City"
"outdoor adventures, planetarium visits, scuba diving","Kitulgala, Negombo, Hikkaduwa Coral Sanctuary, Pigeon Island, Sri Lanka Planetarium"
"safaris, theater, elephant rides","Minneriya National Park, Nelung Arts Centre, Wilpattu National Park, Yala National Park, Lionel Wendt Art Centre"
"village homestays, public art installations, river cruises","Ella, Kandy, Bentota River, Madu River, Haputale"
"amusement parks, horseback riding, scuba diving","Nuwara Eliya, Trincomalee, Excel World, Perl Bay, Colombo Port City"
"hiking, sailing, arts and culture","Ella Rock, Horton Plains National Park, National Gallery of Art, Sri Pada / Adams Peak, Negombo Lagoon"
"golfing, theater, cycling","Nuwara Eliya Golf Club, Royal Colombo Golf Club, Victoria Golf Club, Ella, Nelung Arts Centre"
"hiking, whale watching, wildlife viewing","Yala National Park, Minneriya National Park, Horton Plains National Park, Trincomalee, Mirissa Beach"
"cycling, historic sites, city tours","Kandy City Centre, Galle City Tour, Anuradhapura, Polonnaruwa Ancient City, Colombo City Tour"
"sightseeing, surfing, hiking","Hikkaduwa Beach, Galle Lighthouse, Ella Rock, Horton Plains National Park, Ahangama"
"arts and culture, safaris, village homestays","Minneriya National Park, Wilpattu National Park, Haputale, National Gallery of Art, Yala National Park"
"themed parks, boat safaris, historic sites","Madu River, Anuradhapura, Viharamahadevi Park, Sigiriya, Jungle Beach"
"planetarium visits, village homestays, beach visits","Nilaveli Beach, Sri Lanka Planetarium, Passikuda Beach, Hiriketiya Beach, Haputale"
"fishing, turtle watching, rock climbing","Ella Rock, Trincomalee, Yapahuwa Rock Fortress, Kosgoda Turtle Hatchery, Rekawa Beach"
"city tours, sailing, public art installations","Trincomalee Harbour, Colombo City Tour, Colombo Port City, Galle City Tour, Negombo Lagoon"
"fishing, architecture photography, sightseeing","Horton Plains, Galle Fort, Kalpitiya, Galle Lighthouse, Pidurangala Rock"
"butterfly watching, cycling, local crafts","Ambalangoda, Ella, Knuckles, Hatton, Kandy"
"history tours, archaeological sites, beach visits","Galle Dutch Fort, Tangalle Beach, Anuradhapura, Sigiriya, Marakolliya Beach"
"elephant rides, historic sites, golfing","Mihintale, Victoria Golf Club, Royal Colombo Golf Club, Anuradhapura, Nuwara Eliya Golf Club"
"wildlife viewing, camping, architecture tours","Udawalawe National Park, Kitugala Forest, Wasgamuwa National Park, Horton Plains, Galle Dutch Fort"
"whale watching, hot air ballooning, sailing lessons","Kandalama, Negombo, Dambulla, Hikkaduwa, Mirissa Beach"
"surfing, river cruises, cultural experiences","Kandy Temple, Mihintale, Arugam Bay Beach, Tangalle, Sri Dalada Maligawa"
"outdoor adventures, sailing lessons, cultural experiences","Negombo, Kandy Temple, Kitulgala, Trincomalee, Riverstone Gap"
"mountain biking, village homestays, horse shows","Ella, Nuwara Eliya, Knuckles, Haputale, Kandy"
"craft workshops, city tours, horse shows","Bentota, Nuwara Eliya, Kandy City Centre, Batadombalena Craft Centre, Galle City Tour"
"fishing, beachfront dining, wildlife viewing","Negombo Lagoon, Kanneliya National Rain Forest Reserve, Kalpitiya, Trincomalee, Wasgamuwa National Park"
"butterfly watching, zip-lining, botanical gardens","Knuckles, Horton Plains National Park, Kanneliya National Rain Forest Reserve, Dry Zone Botanic Gardens, Hambantota, Royal Botanical Gardens, Peradeniya"
"sailing, sightseeing, literary tours","Jaffna Public Library, Negombo Lagoon, Ella, Galle Lighthouse, Martin Wickramasinghe Folk Museum"
"public art installations, snorkeling, architecture photography","Sigiriya, Velgam Vehera Buddhist Temple, Colombo, Dambulla Royal Cave Temple and Golden Temple, Pigeon Island"
"sea cruises, waterfalls, history tours","Bopath Falls, Polonnaruwa Ancient City, Devon Falls, Ramboda Falls, St Clairs Falls"
"scuba diving, photography, history tours","Sinharaja Forest Reserve, Ella, Horton Plains National Park, Pigeon Island, Kalpitiya"
"historic walks, cultural experiences, village homestays","Dambulla Royal Cave Temple and Golden Temple, Haputale, Sri Dalada Maligawa, Ella, Kandy Lake"
"outdoor adventures, kayaking, safaris","Wilpattu National Park, Unawatuna Lagoon, Bentota River, Yala National Park, Colombo Port City"
"cultural experiences, fishing, zip-lining","Ella, Mihintale, Kalpitiya, Kandy Temple, Kithulgala"
"elephant rides, snorkeling, rock climbing","Pinnawala, Unawatuna Beach, Udawalawe, Knuckles, Pigeon Island"
"caving, cultural experiences, landscape photography","Belilena Caves, Mahalenama Cave, Batatotalena (Batadombalena) Cave, Anuradhapura, Mihintale"
"golfing, planetarium visits, cultural festivals","Sri Lanka Planetarium, Nallur Kandaswamy Devasthanam, Victoria Golf Club, Royal Colombo Golf Club, Nuwara Eliya Golf Club"
"archaeological sites, camping, art classes","Meemure, Belihuloya, Colombo, Anuradhapura, Sigiriya"
"beachfront dining, horse shows, boat safaris","Galle, Madu River, Mirissa Beach, Bentota River, Nuwara Eliya"
"literary tours, rock climbing, beach visits","Uppuveli Beach, Knuckles, Arugam Bay Beach, Marakolliya Beach, Surathali Ella"
"beach visits, kayaking, museum visits","Ratnapura Gem Museum, Ahungalla, Uppuveli Beach, Kandy National Museum, Koggala Beach"
"architecture tours, hiking, water parks","Pearl Bay, Horton Plains National Park, Sri Pada / Adams Peak, Ella Rock, Sigiriya"
"paddleboarding, zip-lining, wildlife viewing","Negambo, Bentota River, Ella, Trincomalee, Unawatuna Beach"
"fishing, turtle watching, caving","Belilena Caves, Wavulpone Cave, Batatotalena (Batadombalena) Cave, Hikkaduwa, Kosgoda Turtle Hatchery"
"traditional ceremonies, historical monuments, river cruises","Anuradhapura, Bentota River, Polonnaruwa, Madu River, Nallur Kandaswamy Kovil"
"architecture tours, yoga retreats, historical monuments","Galle, Galle Dutch Fort, Hiriketiya, Anuradhapura, Polonnaruwa"
